"user_accuracy","producer_accuracy","Method","class"
0.7109,0.7712,"S1+GLCM","Bare Soil"
0.7473,0.5714,"S1+GLCM","Cropland"
0.9375,0.8898,"S1+GLCM","Forest land"
0.5197,1,"S1+GLCM","River sandbanks"
0.9825,0.9492,"S1+GLCM","Urban areas"
0.8,0.1008,"S1+GLCM","Water"
0.7286,0.8644,"S1+GLCM","Wetland"
0.5899,0.6949,"S1","Bare Soil"
0.6344,0.4958,"S1","Cropland"
0.8235,0.8305,"S1","Forest land"
0.5197,1,"S1","River sandbanks"
0.9619,0.8559,"S1","Urban areas"
0.8235,0.1176,"S1","Water"
0.6535,0.7034,"S1","Wetland"
0.9915,0.9915,"S2","Bare Soil"
0.9746,0.9664,"S2","Cropland"
1,0.9915,"S2","Forest land"
1,0.9916,"S2","River sandbanks"
0.9661,0.9661,"S2","Urban areas"
1,1,"S2","Water"
0.9669,0.9915,"S2","Wetland"
1,0.9915,"S2+S1","Bare Soil"
0.9672,0.9916,"S2+S1","Cropland"
1,1,"S2+S1","Forest land"
1,0.9916,"S2+S1","River sandbanks"
0.9912,0.9576,"S2+S1","Urban areas"
1,1,"S2+S1","Water"
0.9669,0.9915,"S2+S1","Wetland"
0.9915,0.9831,"S2+VI","Bare Soil"
0.9583,0.9664,"S2+VI","Cropland"
1,1,"S2+VI","Forest land"
1,0.9916,"S2+VI","River sandbanks"
0.9655,0.9492,"S2+VI","Urban areas"
1,1,"S2+VI","Water"
0.9587,0.9831,"S2+VI","Wetland"
0.9832,0.9915,"All products","Bare Soil"
0.9833,0.9916,"All products","Cropland"
1,1,"All products","Forest land"
1,1,"All products","River sandbanks"
1,0.9661,"All products","Urban areas"
1,1,"All products","Water"
0.975,0.9915,"All products","Wetland"
